Using cpu device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 21.8     |
|    ep_rew_mean     | 97.9     |
| time/              |          |
|    fps             | 2296     |
|    iterations      | 1        |
|    time_elapsed    | 28       |
|    total_timesteps | 65536    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 21.8        |
|    ep_rew_mean          | 98.4        |
| time/                   |             |
|    fps                  | 1910        |
|    iterations           | 2           |
|    time_elapsed         | 68          |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.007956467 |
|    clip_fraction        | 0.164       |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.2       |
|    explained_variance   | -0.486      |
|    learning_rate        | 0.0001      |
|    loss                 | -0.223      |
|    n_updates            | 15          |
|    policy_gradient_loss | -0.0146     |
|    std                  | 1           |
|    value_loss           | 0.119       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 24.1        |
|    ep_rew_mean          | 109         |
| time/                   |             |
|    fps                  | 1799        |
|    iterations           | 3           |
|    time_elapsed         | 109         |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.008140106 |
|    clip_fraction        | 0.18        |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.2       |
|    explained_variance   | 0.665       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.237      |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0198     |
|    std                  | 1.01        |
|    value_loss           | 0.0386      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 25.6        |
|    ep_rew_mean          | 116         |
| time/                   |             |
|    fps                  | 1752        |
|    iterations           | 4           |
|    time_elapsed         | 149         |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.010591481 |
|    clip_fraction        | 0.241       |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.2       |
|    explained_variance   | 0.823       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.211      |
|    n_updates            | 45          |
|    policy_gradient_loss | -0.0276     |
|    std                  | 1.01        |
|    value_loss           | 0.0665      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 30.7        |
|    ep_rew_mean          | 141         |
| time/                   |             |
|    fps                  | 1713        |
|    iterations           | 5           |
|    time_elapsed         | 191         |
|    total_timesteps      | 327680      |
| train/                  |             |
|    approx_kl            | 0.012234097 |
|    clip_fraction        | 0.273       |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.3       |
|    explained_variance   | 0.839       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.202      |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0313     |
|    std                  | 1.01        |
|    value_loss           | 0.103       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 36.2         |
|    ep_rew_mean          | 166          |
| time/                   |              |
|    fps                  | 1686         |
|    iterations           | 6            |
|    time_elapsed         | 233          |
|    total_timesteps      | 393216       |
| train/                  |              |
|    approx_kl            | 0.0127236815 |
|    clip_fraction        | 0.285        |
|    clip_range           | 0.15         |
|    entropy_loss         | -24.3        |
|    explained_variance   | 0.841        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.163       |
|    n_updates            | 75           |
|    policy_gradient_loss | -0.032       |
|    std                  | 1.01         |
|    value_loss           | 0.133        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 40.9        |
|    ep_rew_mean          | 189         |
| time/                   |             |
|    fps                  | 1656        |
|    iterations           | 7           |
|    time_elapsed         | 276         |
|    total_timesteps      | 458752      |
| train/                  |             |
