None * 160
BufferLevel with seed=3834004176700365069, obst=0.004719815765215185, slab=0.037597747566415825, stairs=0.13931272536581343, stump=0.04449482302403018, gap=0.12306295292859366, regret=None, learnability=None, succ_r=None
BufferLevel with seed=2792582768369008134, obst=0.29133149201987807, slab=0.08960653757553504, stairs=0.11655373491826133, stump=0.05325607148157396, gap=0.009505987158228646, regret=None, learnability=None, succ_r=None
BufferLevel with seed=2258090977560317182, obst=0.21583040355525282, slab=0.011319903098076267, stairs=0.12025622197137599, stump=0.12601558849992547, gap=0.1197008537950444, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5611537939107992596, obst=0.0016790812614605021, slab=0.1477260452128318, stairs=0.01969896276299116, stump=0.02742053893074724, gap=0.0729129677332904, regret=None, learnability=None, succ_r=None
BufferLevel with seed=651673983944090218, obst=0.09549214358800827, slab=0.06571924489741468, stairs=0.13437435781646792, stump=0.04629529976820527, gap=0.09844129691643806, regret=None, learnability=None, succ_r=None
BufferLevel with seed=1058993036791202206, obst=0.08517986529677816, slab=0.027044848330182412, stairs=0.13087557314079765, stump=0.034664299021068226, gap=0.06362777830471557, regret=None, learnability=None, succ_r=None
BufferLevel with seed=4795832010340898154, obst=0.036735649484520315, slab=0.005836569489956955, stairs=0.10790292094204018, stump=0.07284230779178287, gap=0.09374705868149975, regret=None, learnability=None, succ_r=None
BufferLevel with seed=9188483701224493575, obst=0.08496500099785127, slab=0.01909382196579729, stairs=0.1368486559679872, stump=0.1153597750122109, gap=0.02444109543740131, regret=None, learnability=None, succ_r=None
BufferLevel with seed=9062985427662127551, obst=0.11888957776228097, slab=0.008610690465597648, stairs=0.012693730556330884, stump=0.08463225452524173, gap=0.1028402673462794, regret=None, learnability=None, succ_r=None
BufferLevel with seed=8399677725681878527, obst=0.1883216337664662, slab=0.03801156423723921, stairs=0.030820192180219773, stump=0.055942717073775274, gap=0.03795012409129772, regret=None, learnability=None, succ_r=None
BufferLevel with seed=878312691946149317, obst=0.2483368109180283, slab=0.12853967658504192, stairs=0.06951817097515837, stump=0.11587954630520977, gap=0.03301686709655644, regret=None, learnability=None, succ_r=None
BufferLevel with seed=3842095543746020695, obst=0.1510932516651086, slab=0.10798361617324673, stairs=0.05937718853322791, stump=0.14417425502115946, gap=0.07226652350322116, regret=None, learnability=None, succ_r=None
