None * 160
BufferLevel with seed=5026420915634900241, obst=0.3069207033404381, slab=0.0832056279469296, stairs=0.06506957136659476, stump=0.0771610582966218, gap=0.14539272508908807, regret=None, learnability=None, succ_r=None
BufferLevel with seed=7153858856944136959, obst=0.4963907983536302, slab=0.08301160438180755, stairs=0.09334835766277505, stump=0.10440428205540067, gap=0.06360353369279674, regret=None, learnability=None, succ_r=None
BufferLevel with seed=9189871301391649290, obst=0.0255177448350829, slab=0.043034145427919085, stairs=0.004837201392008639, stump=0.07267140019641868, gap=0.011876139570771821, regret=None, learnability=None, succ_r=None
BufferLevel with seed=5158946428304861967, obst=0.044576580483297545, slab=0.0316704855245308, stairs=0.006762882602070908, stump=0.048235416662578225, gap=0.06432381631752546, regret=None, learnability=None, succ_r=None
BufferLevel with seed=4704811939540530108, obst=0.1511473249541323, slab=0.06613561245684539, stairs=0.045652080464170214, stump=0.12748638906843726, gap=0.09121961250246002, regret=None, learnability=None, succ_r=None
BufferLevel with seed=6053814040407571368, obst=0.46419113552896574, slab=0.0015965655431937065, stairs=0.0522047212255639, stump=0.08204661545133328, gap=0.030422045436560657, regret=None, learnability=None, succ_r=None
BufferLevel with seed=3322099716880925980, obst=0.08072200053576745, slab=0.011738772624628213, stairs=0.023838549528992614, stump=0.09878599610854626, gap=0.05617509431071816, regret=None, learnability=None, succ_r=None
BufferLevel with seed=2336439512747960636, obst=0.034813453634068514, slab=0.01745746532430792, stairs=0.01497491476670202, stump=0.09432511058867955, gap=0.06382674528252981, regret=None, learnability=None, succ_r=None
BufferLevel with seed=2585046674085756752, obst=0.08323147968564754, slab=0.06250178654860378, stairs=0.026300257332844003, stump=0.036745971182871574, gap=0.07479280062280526, regret=None, learnability=None, succ_r=None
BufferLevel with seed=3850915093178900165, obst=0.024289085046533432, slab=0.08628830608434579, stairs=0.008715084033924158, stump=0.10455466512053059, gap=0.0586112088496313, regret=None, learnability=None, succ_r=None
BufferLevel with seed=1405408560182212042, obst=0.22254197456077773, slab=0.009909204394367644, stairs=0.03686608213661886, stump=0.10076977748294959, gap=8.457239133436433e-05, regret=None, learnability=None, succ_r=None
BufferLevel with seed=7336418806344171431, obst=0.24495058519332125, slab=0.08230990360947188, stairs=0.03161854720211645, stump=0.006859853781806757, gap=0.13855490813551113, regret=None, learnability=None, succ_r=None
BufferLevel with seed=3495572008464466821, obst=0.1229062870648936, slab=0.0697984100419839, stairs=0.067206165752972, stump=0.0028674525599758417, gap=0.13700985436353566, regret=None, learnability=None, succ_r=None
BufferLevel with seed=201970168307379226, obst=0.08263046811896674, slab=0.038038766813203985, stairs=0.011479779879583964, stump=0.12821118829904818, gap=0.09534004196270517, regret=None, learnability=None, succ_r=None
BufferLevel with seed=1363660477989519460, obst=0.2257751693434678, slab=0.09778468299667065, stairs=0.006323502430480088, stump=0.03915137722454589, gap=0.09063703369636507, regret=None, learnability=None, succ_r=None
BufferLevel with seed=912840842799757902, obst=0.04448790247182083, slab=0.046294804727667185, stairs=0.04805286791361224, stump=0.07898039771566807, gap=0.0685674400638137, regret=None, learnability=None, succ_r=None
BufferLevel with seed=720666546407576217, obst=0.34953511655491476, slab=0.012423076179453475, stairs=0.03647165343641674, stump=0.07667254896089935, gap=0.10557498971355107, regret=None, learnability=None, succ_r=None
BufferLevel with seed=7513556044322091976, obst=0.19829271883097022, slab=0.08414929999112007, stairs=0.017285795457018284, stump=0.13069125158416126, gap=0.08958549433899719, regret=None, learnability=None, succ_r=None
BufferLevel with seed=1372625988654645946, obst=0.11014975026235152, slab=0.08909894753237568, stairs=0.07454213365060965, stump=0.09500603632111534, gap=0.1002615540226972, regret=None, learnability=None, succ_r=None
